gene	log2FC	pvalue	padj
ENSG00000023228	2.7678193267034956	0.0004709051812754188	
ENSG00000023287	0.01778505078932202	0.9012719486258018	
ENSG00000023318	-0.15682487833588166	0.009494288499898031	
ENSG00000023330	0.311480376886915	0.0005681090893892899	
ENSG00000023445	-0.5084651941723759	0.07251325037127107	
ENSG00000023516	0.22045281276941253	0.04740711286648277	
ENSG00000023572	-0.5248210448275179	0.01657481475863968	
ENSG00000023608	-0.05664961238514987	0.6316555544749658	
ENSG00000023697	0.07238497962367951	0.5363451812499235	
ENSG00000023734	0.0793312331236633	0.2618485317103799	
ENSG00000023839	-0.7492234381180936	0.018471622094703405	
ENSG00000023892	0.6198465844128012	0.007995235269649154	
ENSG00000023902	-0.35220633534451906	0.3524494243678187	
ENSG00000023909	-0.4505622197132717	0.001883545917019162	
ENSG00000024048	0.023552548012446106	0.627387387634172	
ENSG00000024422	0.24863143871598048	0.04624568257057752	
ENSG00000024526	-0.7204875150206638	0.08887031938915431	
ENSG00000024862	0.5870067483831796	5.971067424193883e-05	
ENSG00000025039	-0.3711007503095267	0.002395340458342562	
ENSG00000025156	-0.1939051376304608	0.026699927371326575	
ENSG00000025293	-0.2655373595916952	0.03708238161144316	
ENSG00000025423	-1.7708452909219652	0.2148253783676797	
ENSG00000025434	-0.09373320636498716	0.6865050968688579	
