GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
114803	MYSM1	Myb like, SWIRM and MPN domains 1	0.311	2.285
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	-0.793	6.339
51361	HOOK1	hook microtubule tethering protein 1	1.639	8.964
1573	CYP2J2	cytochrome P450 family 2 subfamily J member 2	-0.574	2.484
100996570	NFIA-AS2	NFIA antisense RNA 2	-1.755	5.815
4774	NFIA	nuclear factor I A	-0.232	2.037
85440	DOCK7	dedicator of cytokinesis 7	0.245	1.539
84455	EFCAB7	EF-hand calcium binding domain 7	0.231	1.535
4919	ROR1	receptor tyrosine kinase like orphan receptor 1	-0.434	1.882
55225	RAVER2	ribonucleoprotein, PTB binding 2	0.44	7.729
3716	JAK1	Janus kinase 1	0.67	9.541
3953	LEPR	leptin receptor	-0.665	3.262
57708	MIER1	MIER1 transcriptional regulator	-0.285	2.331
23169	SLC35D1	solute carrier family 35 member D1	-0.354	2.938
3595	IL12RB2	interleukin 12 receptor subunit beta 2	-0.374	1.453
26135	SERBP1	SERPINE1 mRNA binding protein 1	0.164	2.234
1647	GADD45A	growth arrest and DNA damage inducible alpha	-0.633	3.194
100289178	GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1	-0.25	1.576
9077	DIRAS3	DIRAS family GTPase 3	-1.118	2.286
79971	WLS	Wnt ligand secretion mediator	-0.363	9.672
55635	DEPDC1	DEP domain containing 1	1.172	3.127
57554	LRRC7	leucine rich repeat containing 7	1.504	3.85
81573	ANKRD13C	ankyrin repeat domain 13C	0.155	1.931
5733	PTGER3	prostaglandin E receptor 3	0.873	1.52
105378803	LRRC53	leucine rich repeat containing 53	0.416	1.476
127253	TYW3	tRNA-yW synthesizing protein 3 homolog	0.208	1.763
26805	SNORD45A	small nucleolar RNA, C/D box 45A	0.666	2.07
4438	MSH4	mutS homolog 4	-0.92	2.261
26289	AK5	adenylate kinase 5	-0.964	1.813
374987	NEXN-AS1	NEXN antisense RNA 1	0.711	3.035
10964	IFI44L	interferon induced protein 44 like	-1.058	3.398
23266	ADGRL2	adhesion G protein-coupled receptor L2	0.339	3.102
79739	TTLL7	tubulin tyrosine ligase like 7	-0.753	2.711
80135	RPF1	ribosome production factor 1 homolog	0.296	3.454
2787	GNG5	G protein subunit gamma 5	0.351	3.124
102724892	LOC102724892	uncharacterized LOC102724892	1.253	5.071
23566	LPAR3	lysophosphatidic acid receptor 3	0.638	2.491
8915	BCL10	BCL10 immune signaling adaptor	-0.216	2.318
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1	-0.669	1.705
107985054	LOC107985054		-0.757	1.915
3491	CCN1	cellular communication network factor 1	-1.389	3.033
105378827	LOC105378827	uncharacterized LOC105378827	-0.712	2.47
51100	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1	0.454	6.52
9653	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	-0.277	2.17
8543	LMO4	LIM domain only 4	0.332	2.252
56267	KYAT3	kynurenine aminotransferase 3	0.225	1.404
2635	GBP3	guanylate binding protein 3	0.448	1.599
2633	GBP1	guanylate binding protein 1	0.521	1.313
2634	GBP2	guanylate binding protein 2	0.572	2.803
112268267	LOC112268267	uncharacterized LOC112268267	0.62	2.886
400761	LRRC8C-DT	LRRC8C divergent transcript	-0.388	1.763
492303	GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4	0.558	2.449
105378853	LINC02609	long intergenic non-protein coding RNA 2609	0.74	4.286
84146	ZNF644	zinc finger protein 644	0.262	2.126
8317	CDC7	cell division cycle 7	0.804	3.558
646817	SETSIP	SET like protein	0.287	2.659
11146	GLMN	glomulin, FKBP associated protein	-0.202	1.309
79871	RPAP2	RNA polymerase II associated protein 2	0.226	2.554
2672	GFI1	growth factor independent 1 transcriptional repressor	-0.904	2.876
7813	EVI5	ecotropic viral integration site 5	-0.31	2.296
388650	DIPK1A	divergent protein kinase domain 1A	0.41	3.054
30836	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	0.212	2.262
2730	GCLM	glutamate-cysteine ligase modifier subunit	0.414	3.675
24	ABCA4	ATP binding cassette subfamily A member 4	-0.599	1.394
9411	ARHGAP29	Rho GTPase activating protein 29	0.293	1.549
101928079	SLC44A3-AS1	SLC44A3 antisense RNA 1	0.554	1.841
1266	CNN3	calponin 3	-0.271	1.802
105378862	LOC105378862	replaced by ID 729970	-0.822	4.953
729970	CNN3-DT	CNN3 divergent transcript	-0.334	1.623
51375	SNX7	sorting nexin 7	0.486	4.725
54873	PALMD	palmdelphin	0.368	1.675
391059	FRRS1	ferric chelate reductase 1	-0.688	6.653
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	0.444	2.39
54482	TRMT13	tRNA methyltransferase 13 homolog	0.401	5.936
127495	LRRC39	leucine rich repeat containing 39	0.755	7.033
1629	DBT	dihydrolipoamide branched chain transacylase E2	0.228	1.403
8634	RTCA	RNA 3'-terminal phosphate cyclase	0.35	4.819
148867	SLC30A7	solute carrier family 30 member 7	-0.327	1.732
102606465	DPH5-DT	DPH5 divergent transcript	-0.322	2.136
101928370	S1PR1-DT	S1PR1 divergent transcript	-0.566	3.003
1901	S1PR1	sphingosine-1-phosphate receptor 1	-0.377	2.945
280	AMY2B	amylase alpha 2B	-0.349	2.54
29957	SLC25A24	solute carrier family 25 member 24	0.314	1.768
55119	PRPF38B	pre-mRNA processing factor 38B	0.216	2.194
29899	GPSM2	G protein signaling modulator 2	0.228	3.775
23155	CLCC1	chloride channel CLIC like 1	0.212	4.228
56900	TMEM167B	transmembrane protein 167B	-0.336	5.119
6301	SARS1	seryl-tRNA synthetase 1	0.283	4.2
1952	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	0.539	2.56
343263	MYBPHL	myosin binding protein H like	1.198	2.18
6272	SORT1	sortilin 1	-0.301	1.51
284612	SYPL2	synaptophysin like 2	0.275	1.304
284613	CYB561D1	cytochrome b561 family member D1	-0.212	1.339
57463	AMIGO1	adhesion molecule with Ig like domain 1	0.284	2.162
2780	GNAT2	G protein subunit alpha transducin 2	0.743	4.43
2948	GSTM4	glutathione S-transferase mu 4	0.496	9.108
