GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
2949	GSTM5	glutathione S-transferase mu 5	-0.703	2.515
2947	GSTM3	glutathione S-transferase mu 3	0.643	2.529
1435	CSF1	colony stimulating factor 1	0.26	2.054
10768	AHCYL1	adenosylhomocysteinase like 1	0.276	9.348
3749	KCNC4	potassium voltage-gated channel subfamily C member 4	-0.589	2.774
10542	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	0.175	1.38
101410535	LAMTOR5-AS1	LAMTOR5 antisense RNA 1	-0.831	2.659
128338	DRAM2	DNA damage regulated autophagy modulator 2	0.281	3.938
1117	CHI3L2	chitinase 3 like 2	1.134	1.803
128344	PIFO	primary cilia formation	0.364	1.646
515	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	0.224	1.735
57413	TMIGD3	transmembrane and immunoglobulin domain containing 3	1.013	2.688
100129269	LINC01160	long intergenic non-protein coding RNA 1160	-0.794	4.11
55924	INKA2	inka box actin regulator 2	0.602	2.11
3752	KCND3	potassium voltage-gated channel subfamily D member 3	0.734	5.225
100996251	LRIG2-DT	LRIG2 divergent transcript	-0.941	4.127
9860	LRIG2	leucine rich repeats and immunoglobulin like domains 2	-0.307	3.305
54665	RSBN1	round spermatid basic protein 1	-0.248	1.667
100287722	AP4B1-AS1	AP4B1 antisense RNA 1	-0.153	1.363
10717	AP4B1	adaptor related protein complex 4 subunit beta 1	-0.337	7.221
56944	OLFML3	olfactomedin like 3	-0.547	2.84
7812	CSDE1	cold shock domain containing E1	0.233	3.833
10100	TSPAN2	tetraspanin 2	0.554	1.947
4803	NGF	nerve growth factor	0.76	4.654
55356	SLC22A15	solute carrier family 22 member 15	0.366	3.74
965	CD58	CD58 molecule	0.258	2.073
914	CD2	CD2 molecule	-0.882	1.685
5738	PTGFRN	prostaglandin F2 receptor inhibitor	-0.719	5.625
9398	CD101	CD101 molecule	-0.779	6.911
8458	TTF2	transcription termination factor 2	-0.247	1.367
79679	VTCN1	V-set domain containing T cell activation inhibitor 1	-0.759	2.436
54855	TENT5C	terminal nucleotidyltransferase 5C	0.908	4.766
105378929	LOC105378929	uncharacterized LOC105378929	1.334	2.403
200162	SPAG17	sperm associated antigen 17	0.661	5.065
128102	HSD3BP4	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4	0.977	3.088
3158	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	2.413	3.559
100996724	PDE4DIPP2	PDE4DIP pseudogene 2	0.339	3.053
107985524	LOC107985524	uncharacterized LOC107985524	-0.846	5.59
2210	FCGR1BP	Fc gamma receptor Ib, pseudogene	0.67	1.854
107985194	LINC02798	long intergenic non-protein coding RNA 2798	-1.958	12.889
107985201	LOC107985201	uncharacterized LOC107985201	-0.411	1.559
100132417	FCGR1CP	Fc gamma receptor Ic, pseudogene	0.846	2.172
103091866	LINC01145	long intergenic non-protein coding RNA 1145	-0.429	2.522
653519	GPR89A	G protein-coupled receptor 89A	0.352	8.402
11126	CD160	CD160 molecule	-0.785	3.561
200035	NUDT17	nudix hydrolase 17	-0.176	1.361
10401	PIAS3	protein inhibitor of activated STAT 3	-0.155	1.48
148741	ANKRD35	ankyrin repeat domain 35	-0.452	1.944
8515	ITGA10	integrin subunit alpha 10	-1.18	3.574
8799	PEX11B	peroxisomal biogenesis factor 11 beta	-0.147	1.7
114814	GNRHR2	gonadotropin releasing hormone receptor 2 (pseudogene)	0.214	2.549
105371260	LIX1L-AS1	LIX1L antisense RNA 1	0.293	1.33
170688	NUDT4P2	nudix hydrolase 4 pseudogene 2	0.578	3.666
102724364	SEC22B4P	SEC22 homolog B4, pseudogene	-0.148	1.487
100996756	LOC100996756	uncharacterized LOC100996756	0.794	1.794
728989	LOC728989	phosphodiesterase 4D interacting protein pseudogene	-0.375	3.381
5565	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2	0.292	1.489
2330	FMO5	flavin containing dimethylaniline monoxygenase 5	0.838	4.24
607	BCL9	BCL9 transcription coactivator	-0.309	2.904
51463	GPR89B	G protein-coupled receptor 89B	0.356	7.983
100996763	NOTCH2NLB	notch 2 N-terminal like B	-0.369	1.66
440672	NUDT4B	nudix hydrolase 4B	0.567	3.579
9659	PDE4DIP	phosphodiesterase 4D interacting protein	0.273	2.316
100996717	NOTCH2NLC	notch 2 N-terminal like C	-0.413	2.092
2209	FCGR1A	Fc gamma receptor Ia	0.713	2.442
9900	SV2A	synaptic vesicle glycoprotein 2A	-0.728	3.208
10262	SF3B4	splicing factor 3b subunit 4	-0.173	1.683
10903	MTMR11	myotubularin related protein 11	-0.452	2.063
51177	PLEKHO1	pleckstrin homology domain containing O1	0.639	2.602
81611	ANP32E	acidic nuclear phosphoprotein 32 family member E	-0.445	3.291
23632	CA14	carbonic anhydrase 14	0.751	5.263
51107	APH1A	aph-1 homolog A, gamma-secretase subunit	-0.364	6.602
79630	C1orf54	chromosome 1 open reading frame 54	-0.338	1.475
54460	MRPS21	mitochondrial ribosomal protein S21	0.222	1.813
80222	TARS2	threonyl-tRNA synthetase 2, mitochondrial	-0.232	1.97
1893	ECM1	extracellular matrix protein 1	-0.403	1.681
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member	-0.385	2.363
55204	GOLPH3L	golgi phosphoprotein 3 like	0.164	1.841
1513	CTSK	cathepsin K	-0.962	5.256
55793	MINDY1	MINDY lysine 48 deubiquitinase 1	0.188	1.305
56882	CDC42SE1	CDC42 small effector 1	-0.321	2.428
10962	MLLT11	MLLT11 transcription factor 7 cofactor	-0.765	2.492
126626	GABPB2	GA binding protein transcription factor subunit beta 2	-0.437	5.271
79626	TNFAIP8L2	TNF alpha induced protein 8 like 2	0.633	2.331
5710	PSMD4	proteasome 26S subunit ubiquitin receptor, non-ATPase 4	0.158	1.455
57592	ZNF687	zinc finger protein 687	-0.208	2.881
5298	PI4KB	phosphatidylinositol 4-kinase beta	-0.177	2.427
5692	PSMB4	proteasome 20S subunit beta 4	-0.19	2.078
23126	POGZ	pogo transposable element derived with ZNF domain	-0.307	5.56
7286	TUFT1	tuftelin 1	-0.522	3.799
11189	CELF3	CUGBP Elav-like family member 3	-0.184	1.884
65005	MRPL9	mitochondrial ribosomal protein L9	0.185	1.963
100132111	C2CD4D-AS1	C2CD4D and THEM5 antisense RNA 1	-0.635	1.908
284486	THEM5	thioesterase superfamily member 5	-0.917	1.855
6281	S100A10	S100 calcium binding protein A10	0.862	5.894
6282	S100A11	S100 calcium binding protein A11	0.425	2.175
339400	FLG-AS1	FLG antisense RNA 1	-0.734	1.874
6280	S100A9	S100 calcium binding protein A9	1.363	3.592
6279	S100A8	S100 calcium binding protein A8	0.901	1.404
6275	S100A4	S100 calcium binding protein A4	0.491	1.485
6274	S100A3	S100 calcium binding protein A3	1.399	6.743
140576	S100A16	S100 calcium binding protein A16	0.314	2.086
57402	S100A14	S100 calcium binding protein A14	0.678	3.528
3608	ILF2	interleukin enhancer binding factor 2	0.176	2.1
65123	INTS3	integrator complex subunit 3	-0.236	3.613
11000	SLC27A3	solute carrier family 27 member 3	-0.438	3.007
57459	GATAD2B	GATA zinc finger domain containing 2B	-0.408	8.211
27173	SLC39A1	solute carrier family 39 member 1	0.282	4.024
5872	RAB13	RAB13, member RAS oncogene family	0.357	4.611
7170	TPM3	tropomyosin 3	-0.584	1.357
25912	C1orf43	chromosome 1 open reading frame 43	0.209	1.885
10456	HAX1	HCLS1 associated protein X-1	0.234	2.005
89872	AQP10	aquaporin 10	-3.49	12.021
57198	ATP8B2	ATPase phospholipid transporting 8B2	-0.406	3.37
3570	IL6R	interleukin 6 receptor	0.352	2.482
126668	TDRD10	tudor domain containing 10	-0.467	3.54
55585	UBE2Q1	ubiquitin conjugating enzyme E2 Q1	0.369	7.553
100874097	UBE2Q1-AS1	UBE2Q1 antisense RNA 1	0.541	8.706
1141	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	-0.262	3.848
3782	KCNN3	potassium calcium-activated channel subfamily N member 3	-0.943	3.493
10654	PMVK	phosphomevalonate kinase	0.336	2.998
80308	FLAD1	flavin adenine dinucleotide synthetase 1	0.225	2.544
51043	ZBTB7B	zinc finger and BTB domain containing 7B	0.488	5.8
7059	THBS3	thrombospondin 3	-0.466	2.288
105371450	THBS3-AS1	THBS3 antisense RNA 1	-0.456	1.98
10712	ENTREP3	endosomal transmembrane epsin interactor 3	0.305	2.749
55870	ASH1L	ASH1 like histone lysine methyltransferase	0.355	3.895
101929703	LOC101929703	uncharacterized LOC101929703	-0.832	5.723
55154	MSTO1	misato mitochondrial distribution and morphology regulator 1	-0.25	2.667
55249	YY1AP1	YY1 associated protein 1	0.167	2.009
100129405	MSTO2P	misato family member 2, pseudogene	-0.262	2.882
23208	SYT11	synaptotagmin 11	-0.409	3.074
56893	UBQLN4	ubiquilin 4	0.193	2.132
28956	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	0.222	2.167
64218	SEMA4A	semaphorin 4A	-0.583	4.628
9673	SLC25A44	solute carrier family 25 member 44	0.131	1.472
100527963	PMF1-BGLAP	PMF1-BGLAP readthrough	0.499	6.279
11243	PMF1	polyamine modulated factor 1	0.243	2.56
79957	PAQR6	progestin and adipoQ receptor family member 6	-0.999	8.629
84283	TMEM79	transmembrane protein 79	-0.307	2.093
7203	CCT3	chaperonin containing TCP1 subunit 3	0.163	1.317
128239	IQGAP3	IQ motif containing GTPase activating protein 3	1.484	3.33
54865	GPATCH4	G-patch domain containing 4 (gene/pseudogene)	0.739	17.534
105371453	BCAN-AS1	BCAN antisense RNA 1	1.357	7.627
10763	NES	nestin	-0.543	2.378
79590	MRPL24	mitochondrial ribosomal protein L24	0.317	3.255
3068	HDGF	heparin binding growth factor	0.53	14.624
3645	INSRR	insulin receptor related receptor	0.602	1.658
2117	ETV3	ETS variant transcription factor 3	-0.209	2.172
922	CD5L	CD5 molecule like	2.018	3.514
911	CD1C	CD1c molecule	-1.945	7.644
913	CD1E	CD1e molecule	-2.629	6.484
3428	IFI16	interferon gamma inducible protein 16	0.303	1.699
100131825	CADM3-AS1	CADM3 antisense RNA 1	0.452	1.601
2205	FCER1A	Fc epsilon receptor Ia	-1.237	2.012
343413	FCRL6	Fc receptor like 6	-0.947	1.474
56833	SLAMF8	SLAM family member 8	-0.416	1.502
284677	SNHG28	small nucleolar RNA host gene 28	-0.594	3.819
480	ATP1A4	ATPase Na+/K+ transporting subunit alpha 4	-0.583	2.11
729867	LOC729867	uncharacterized LOC729867	0.965	10.104
8682	PEA15	proliferation and apoptosis adaptor protein 15	0.507	6.355
1314	COPA	COPI coat complex subunit alpha	-0.376	9.051
962	CD48	CD48 molecule	-0.562	1.422
55600	ITLN1	intelectin 1	2.071	2.424
100131187	TSTD1	thiosulfate sulfurtransferase like domain containing 1	-0.723	5.194
7391	USF1	upstream transcription factor 1	0.14	1.971
126823	KLHDC9	kelch domain containing 9	-0.936	5.739
5202	PFDN2	prefoldin subunit 2	0.207	1.748
9191	DEDD	death effector domain containing	0.165	2.762
51506	UFC1	ubiquitin-fold modifier conjugating enzyme 1	0.345	5.117
5498	PPOX	protoporphyrinogen oxidase	-0.297	4.166
2207	FCER1G	Fc epsilon receptor Ig	1.09	8.021
84134	TOMM40L	translocase of outer mitochondrial membrane 40 like	0.286	3.416
9970	NR1I3	nuclear receptor subfamily 1 group I member 3	0.384	5.654
257177	CFAP126	cilia and flagella associated protein 126	0.5	6.85
2214	FCGR3A	Fc gamma receptor IIIa	1.023	3.406
3311	HSPA7	heat shock protein family A (Hsp70) member 7 (pseudogene)	-0.708	1.398
22926	ATF6	activating transcription factor 6	0.228	4.44
6675	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	0.297	2.016
5999	RGS4	regulator of G protein signaling 4	-1.543	2.175
83540	NUF2	NUF2 component of NDC80 kinetochore complex	1.834	7.187
107985451	LOC107985451	uncharacterized LOC107985451	2.092	6.8
4009	LMX1A	LIM homeobox transcription factor 1 alpha	-1.625	2.411
400794	LRRC52-AS1	LRRC52 antisense RNA 1	-1.152	1.339
7371	UCK2	uridine-cytidine kinase 2	-0.418	2.043
149297	FAM78B	family with sequence similarity 78 member B	0.844	5.889
387597	ILDR2	immunoglobulin like domain containing receptor 2	-0.556	2.889
84944	MAEL	maelstrom spermatogenic transposon silencer	-0.541	2.694
10223	GPA33	glycoprotein A33	-1.154	2.454
92235	STYXL2	serine/threonine/tyrosine interacting like 2	-0.848	4.865
5451	POU2F1	POU class 2 homeobox 1	-0.201	2.341
919	CD247	CD247 molecule	-0.663	1.816
25874	MPC2	mitochondrial pyruvate carrier 2	0.194	1.433
55827	DCAF6	DDB1 and CUL4 associated factor 6	0.393	5.736
261726	TIPRL	TOR signaling pathway regulator	0.161	1.852
375035	SFT2D2	SFT2 domain containing 2	-0.443	5.138
6375	XCL1	X-C motif chemokine ligand 1	1.505	4.686
1805	DPT	dermatopontin	-1.011	3.764
6402	SELL	selectin L	-0.819	2.148
55732	C1orf112	chromosome 1 open reading frame 112	0.213	1.809
57147	SCYL3	SCY1 like pseudokinase 3	0.192	2.217
22920	KIFAP3	kinesin associated protein 3	-0.345	1.764
5396	PRRX1	paired related homeobox 1	-0.85	4.455
2329	FMO4	flavin containing dimethylaniline monoxygenase 4	-0.455	3.566
7151	TOP1P1	DNA topoisomerase I pseudogene 1	-0.443	3.681
23215	PRRC2C	proline rich coiled-coil 2C	0.229	2.503
4653	MYOC	myocilin	-1.096	1.8
51603	METTL13	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase	0.188	3.15
102724528	LOC102724528	uncharacterized LOC102724528	0.508	2.491
92346	C1orf105	chromosome 1 open reading frame 105	2.25	7.786
5279	PIGC	phosphatidylinositol glycan anchor biosynthesis class C	0.139	1.36
51430	SUCO	SUN domain containing ossification factor	0.263	3.519
9588	PRDX6	peroxiredoxin 6	0.58	4.847
339416	ANKRD45	ankyrin repeat domain 45	-1.276	3.666
60674	GAS5	growth arrest specific 5	-0.315	1.823
149041	RC3H1	ring finger and CCCH-type domains 1	-0.267	2.31
105371622	LOC105371622	uncharacterized LOC105371622	-0.528	2.634
27101	CACYBP	calcyclin binding protein	0.603	10.242
63931	MRPS14	mitochondrial ribosomal protein S14	0.128	1.392
63923	TNN	tenascin N	-1.004	2.555
9674	KIAA0040	KIAA0040	0.401	1.645
64326	COP1	COP1 E3 ubiquitin ligase	0.262	4.546
460	ASTN1	astrotactin 1	-0.489	2.212
105371629	LOC105371629	uncharacterized LOC105371629	-2.492	17.144
55103	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	0.619	3.202
9068	ANGPTL1	angiopoietin like 1	-0.576	2.06
9917	FAM20B	FAM20B glycosaminoglycan xylosylkinase	0.215	3.771
5768	QSOX1	quiescin sulfhydryl oxidase 1	0.493	2.864
84320	ACBD6	acyl-CoA binding domain containing 6	0.189	2.185
9213	XPR1	xenotropic and polytropic retrovirus receptor 1	-0.711	4.851
107985230	LOC107985230		-1.218	3.992
105371638	LINC02816	long intergenic non-protein coding RNA 2816	-1.866	4.436
57710	KIAA1614	KIAA1614	-0.182	1.379
51278	IER5	immediate early response 5	-0.531	1.823
777	CACNA1E	calcium voltage-gated channel subunit alpha1 E	2.501	4.993
80896	NPL	N-acetylneuraminate pyruvate lyase	0.595	2.569
9887	SMG7	SMG7 nonsense mediated mRNA decay factor	0.341	7.49
23127	COLGALT2	collagen beta(1-O)galactosyltransferase 2	-0.994	9.107
116461	TSEN15	tRNA splicing endonuclease subunit 15	0.179	2.06
81627	TRMT1L	tRNA methyltransferase 1 like	0.252	4.035
10216	PRG4	proteoglycan 4	-0.881	2.06
7175	TPR	translocated promoter region, nuclear basket protein	0.155	1.478
5743	PTGS2	prostaglandin-endoperoxide synthase 2	-1.074	2.14
51377	UCHL5	ubiquitin C-terminal hydrolase L5	0.455	7.05
51022	GLRX2	glutaredoxin 2	0.579	4.588
101929160	LOC101929160		0.397	1.878
8707	B3GALT2	beta-1,3-galactosyltransferase 2	1.064	3.196
343450	KCNT2	potassium sodium-activated channel subfamily T member 2	-0.939	2.41
3075	CFH	complement factor H	-0.62	1.877
3078	CFHR1	complement factor H related 1	-0.527	1.456
259266	ASPM	assembly factor for spindle microtubules	1.078	3.159
23418	CRB1	crumbs cell polarity complex component 1	-0.926	1.489
83479	DDX59	DEAD-box helicase 59	0.16	1.406
23046	KIF21B	kinesin family member 21B	-0.906	4.75
252839	TMEM9	transmembrane protein 9	-0.483	5.993
101929326	LOC101929326	uncharacterized LOC101929326	-0.666	1.57
7139	TNNT2	troponin T2, cardiac type	0.538	6.099
3898	LAD1	ladinin 1	2.252	10.404
7135	TNNI1	troponin I1, slow skeletal type	-4.036	11.184
23612	PHLDA3	pleckstrin homology like domain family A member 3	-0.42	2.532
107985246	CSRP1-AS1	CSRP1 antisense RNA 1	-0.433	2.354
149345	SHISA4	shisa family member 4	0.854	9.394
10440	TIMM17A	translocase of inner mitochondrial membrane 17A	0.235	1.972
6051	RNPEP	arginyl aminopeptidase	-0.224	3.507
112268254	LOC112268254		0.474	2.457
9283	GPR37L1	G protein-coupled receptor 37 like 1	-1.322	11.257
29089	UBE2T	ubiquitin conjugating enzyme E2 T	0.364	1.895
4660	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	0.475	2.337
100506696	PCAT6	prostate cancer associated transcript 6	0.586	2.379
148709	ACTG1P25	actin gamma 1 pseudogene 25	-1.901	8.214
5877	RABIF	RAB interacting factor	0.338	3.115
51094	ADIPOR1	adiponectin receptor 1	0.242	2.676
51706	CYB5R1	cytochrome b5 reductase 1	-0.28	1.451
92703	TMEM183A	transmembrane protein 183A	0.138	1.554
1116	CHI3L1	chitinase 3 like 1	2.273	5.779
7832	BTG2	BTG anti-proliferation factor 2	-1.118	2.217
2331	FMOD	fibromodulin	-2.715	9.223
5549	PRELP	proline and arginine rich end leucine rich repeat protein	-1.141	3.73
9877	ZC3H11A	zinc finger CCCH-type containing 11A	0.246	3.065
100381270	ZBED6	zinc finger BED-type containing 6	0.695	1.627
9580	SOX13	SRY-box transcription factor 13	-0.199	1.411
55224	ETNK2	ethanolamine kinase 2	0.797	2.448
4194	MDM4	MDM4 regulator of p53	-0.47	10.114
23114	NFASC	neurofascin	-0.31	1.478
5129	CDK18	cyclin dependent kinase 18	0.342	3.593
85414	SLC45A3	solute carrier family 45 member 3	0.626	3.375
8934	RAB29	RAB29, member RAS oncogene family	0.54	4.902
254428	SLC41A1	solute carrier family 41 member 1	0.581	7.048
115019	SLC26A9	solute carrier family 26 member 9	0.476	1.451
440712	RHEX	regulator of hemoglobinization and erythroid cell expansion	-0.788	1.745
23380	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	-0.288	1.596
9261	MAPKAPK2	MAPK activated protein kinase 2	0.225	3.564
3586	IL10	interleukin 10	1.406	3.22
79098	C1orf116	chromosome 1 open reading frame 116	1.178	3.089
5208	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	0.496	1.536
107985251	LOC107985251	uncharacterized LOC107985251	-0.529	2.374
1604	CD55	CD55 molecule (Cromer blood group)	0.228	1.493
947	CD34	CD34 molecule	0.383	1.752
105372883	LINC02767	long intergenic non-protein coding RNA 2767	0.648	1.769
5362	PLXNA2	plexin A2	-0.423	2.808
3914	LAMB3	laminin subunit beta 3	1.18	5.45
50486	G0S2	G0/G1 switch 2	1.498	4.16
55733	HHAT	hedgehog acyltransferase	-0.535	4.662
7188	TRAF5	TNF receptor associated factor 5	-0.369	2.014
25896	INTS7	integrator complex subunit 7	0.205	1.715
51514	DTL	denticleless E3 ubiquitin protein ligase homolog	0.692	1.518
100131205	RPL21P28	ribosomal protein L21 pseudogene 28	0.442	2.485
101929541	LINC02608	long intergenic non-protein coding RNA 2608	0.894	3.523
5525	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	0.193	1.567
29937	NENF	neudesin neurotrophic factor	-0.266	1.969
467	ATF3	activating transcription factor 3	-0.934	1.346
102723761	LINC02773	long intergenic non-protein coding RNA 2773	0.613	2.731
28982	FLVCR1	FLVCR heme transporter 1	-0.408	3.538
79805	VASH2	vasohibin 2	0.792	1.823
90806	ANGEL2	angel homolog 2	-0.24	2.133
26750	RPS6KC1	ribosomal protein S6 kinase C1	0.313	7.21
105372912	LOC105372912	replaced by ID 26750	0.601	1.407
5629	PROX1	prospero homeobox 1	0.398	1.361
107985263	LOC107985263		-0.506	3.406
5784	PTPN14	protein tyrosine phosphatase non-receptor type 14	-0.506	4.339
1063	CENPF	centromere protein F	1.428	4.964
51018	RRP15	ribosomal RNA processing 15 homolog	0.306	5.122
728463	TGFB2-AS1	TGFB2 antisense RNA 1 (head to head)	-1.901	5.003
7042	TGFB2	transforming growth factor beta 2	-1.797	5.475
103611157	TGFB2-OT1	TGFB2 overlapping transcript 1	-2.184	7.68
127018	LYPLAL1	lysophospholipase like 1	-0.42	4.375
107984018	LOC107984018	uncharacterized LOC107984018	0.605	2.199
2058	EPRS1	glutamyl-prolyl-tRNA synthetase 1	0.286	6.56
55699	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	0.178	2.28
25782	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2	0.198	2.103
4139	MARK1	microtubule affinity regulating kinase 1	0.166	1.464
79762	C1orf115	chromosome 1 open reading frame 115	0.819	7.878
64757	MTARC1	mitochondrial amidoxime reducing component 1	0.598	2.488
100873924	HLX-AS1	HLX antisense RNA 1	-0.521	1.323
375056	MIA3	MIA SH3 domain ER export factor 3	0.466	11.726
64853	AIDA	axin interactor, dorsalization associated	0.304	7.025
400823	FAM177B	family with sequence similarity 177 member B	-0.755	3.954
824	CAPN2	calpain 2	0.271	4.241
441124	GTF2IP20	general transcription factor IIi pseudogene 20	-0.343	2.565
100287497	SEPTIN7P13	septin 7 pseudogene 13	-0.598	7.823
8560	DEGS1	delta 4-desaturase, sphingolipid 1	0.431	4.808
80232	WDR26	WD repeat domain 26	0.24	3.072
149111	CNIH3	cornichon family AMPA receptor auxiliary protein 3	-0.711	3.685
127602	DNAH14	dynein axonemal heavy chain 14	0.932	2.461
55740	ENAH	ENAH actin regulator	-0.523	2.815
2052	EPHX1	epoxide hydrolase 1	0.3	2.4
10637	LEFTY1	left-right determination factor 1	-1.02	2.577
29920	PYCR2	pyrroline-5-carboxylate reductase 2	-0.285	5.448
7044	LEFTY2	left-right determination factor 2	-2.661	11.07
163859	SDE2	SDE2 telomere maintenance homolog	-0.344	2.481
286826	LIN9	lin-9 DREAM MuvB core complex component	0.343	1.707
142	PARP1	poly(ADP-ribose) polymerase 1	0.299	4.697
105373116	LOC105373116	uncharacterized LOC105373116	1.726	5.213
3707	ITPKB	inositol-trisphosphate 3-kinase B	0.364	1.874
5664	PSEN2	presenilin 2	0.271	2.324
56997	COQ8A	coenzyme Q8A	0.621	3.312
8476	CDC42BPA	CDC42 binding protein kinase alpha	0.271	3.568
