GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
7077	3.18e-12	1.54e-14	0.1177	-7.68438	-0.9043397	6285.56	TIMP2	TIMP metallopeptidase inhibitor 2
9790	3.33e-12	1.63e-14	0.0426	7.6769	0.3270321	1203.18	BMS1	BMS1 ribosome biogenesis factor
4052	3.40e-12	1.68e-14	0.1095	-7.67296	-0.8405061	6504.33	LTBP1	latent transforming growth factor beta binding protein 1
127435	3.45e-12	1.72e-14	0.1705	-7.66965	-1.3076289	1596.01	PODN	podocan
8073	3.92e-12	1.99e-14	0.067	7.65134	0.5127932	5002.44	PTP4A2	protein tyrosine phosphatase 4A2
55064	3.92e-12	2.00e-14	0.1715	-7.65085	-1.3121143	38.27	SPATA6L	spermatogenesis associated 6 like
105378230	4.15e-12	2.14e-14	0.1531	7.642	1.170006	91.1	LOC105378230	uncharacterized LOC105378230
2662	4.27e-12	2.24e-14	0.3388	-7.6359	-2.587244	52.27	GDF10	growth differentiation factor 10
51699	4.27e-12	2.23e-14	0.0539	7.63675	0.4112605	1609.37	VPS29	VPS29 retromer complex component
1032	4.80e-12	2.55e-14	0.0782	7.61953	0.5959745	217.67	CDKN2D	cyclin dependent kinase inhibitor 2D
9283	5.53e-12	2.99e-14	0.174	-7.59857	-1.3218649	29.43	GPR37L1	G protein-coupled receptor 37 like 1
150572	5.53e-12	2.99e-14	0.1022	7.59861	0.7765604	17248.3	SMYD1	SET and MYND domain containing 1
57758	5.61e-12	3.06e-14	0.3001	-7.59558	-2.2795652	215.15	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2
64094	5.77e-12	3.18e-14	0.208	-7.59069	-1.5790878	2356.46	SMOC2	SPARC related modular calcium binding 2
192668	6.20e-12	3.45e-14	0.184	-7.58013	-1.3950019	151.77	CYS1	cystin 1
7135	6.55e-12	3.68e-14	0.533	-7.57186	-4.0355434	1264.57	TNNI1	troponin I1, slow skeletal type
2935	6.84e-12	3.88e-14	0.0464	7.56492	0.3509012	3389.61	GSPT1	G1 to S phase transition 1
104326055	7.98e-12	4.57e-14	0.2855	-7.54376	-2.1538547	166.92	APOA1-AS	APOA1 antisense RNA
83690	8.36e-12	4.85e-14	0.3707	-7.53585	-2.7935321	108.89	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1
30812	8.36e-12	4.87e-14	0.212	-7.53527	-1.5977933	86.13	SOX8	SRY-box transcription factor 8
26140	8.38e-12	4.93e-14	0.0974	-7.53385	-0.7341719	434.4	TTLL3	tubulin tyrosine ligase like 3
7044	8.51e-12	5.05e-14	0.3534	-7.53075	-2.6611512	65.34	LEFTY2	left-right determination factor 2
